original_taxon,clean_species,relative_abundance,sample_id,source,category,macrocategory,country
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB59904|s__GGB59904_SGB81786|t__SGB81786,ggb59904_sgb81786,0.79744,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Rosenbergiella|s__Rosenbergiella_epipactidis|t__SGB10292,rosenbergiella_epipactidis,0.34778,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_saanichensis|t__SGB31094,tatumella_saanichensis,0.1327,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kondonii|t__SGB30476,gluconobacter_kondonii,0.13264,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos|t__SGB10295,tatumella_ptyseos,8.84219,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM130|t__SGB92518,tatumella_sp_jgm130,0.05148,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB211856|t__SGB211856,tatumella_sgb211856,31.45455,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM118|t__SGB92519,tatumella_sp_jgm118,1.0824,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_citrea|t__SGB10293,tatumella_citrea,0.96411,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_alder81|t__SGB110057,pantoea_sp_alder81,0.35508,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwiniaceae_unclassified|s__Erwiniaceae_bacterium_L1_54_3|t__SGB81771,erwiniaceae_bacterium_l1_54_3,11.68931,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10181,enterobacter_cancerogenus,8.33615,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rwandensis|t__SGB10180,pantoea_rwandensis,34.88779,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Candidatus_Pantoea_multigeneris|t__SGB31219,candidatus_pantoea_multigeneris,0.01078,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp_G0240|t__SGB28207,chryseobacterium_sp_g0240,0.08699,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10178,pantoea_rodasii,0.05486,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB21203|t__SGB21203,tatumella_sgb21203,0.15463,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10179,pantoea_rodasii,0.01193,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_cypripedii|t__SGB81774,pantoea_cypripedii,0.04012,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_akiainvivens|t__SGB3051,flavobacterium_akiainvivens,0.00994,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rwandensis|t__SGB10182,pantoea_rwandensis,0.00272,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955,cutibacterium_acnes,0.62919,SRR8742579,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB59904|s__GGB59904_SGB81786|t__SGB81786,ggb59904_sgb81786,6.76115,SRR8742579,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM118|t__SGB92519,tatumella_sp_jgm118,12.86469,SRR8742579,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_SGB11337|t__SGB11337,bradyrhizobium_sgb11337,68.75109,SRR8742579,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10178,pantoea_rodasii,10.99388,SRR8742579,cfmd_food,fermented_seeds,food,BRA
